timestamp,x,y,z
1517145315454060,-0.25,-0.625,0.1875
1517145315461064,-1.3125,-0.75,0.5
1517145315484081,-0.625,1,0.3125
1517145315499092,-0.5,2.125,0.1875
1517145315523109,-0.1875,2.1875,0.3125
1517145315544124,0.75,2.25,0.125
1517145315559134,-0.375,2,-0.5
1517145315584152,-2,1.6875,-0.25
1517145315614173,-2.9375,1.25,-0.4375
1517145315622179,-1.9375,1.125,-0.75
1517145315635188,-1.5,0.9375,-0.5625
1517145315659205,-1.1875,0.625,-0.625
1517145315688225,-1,0.625,-0.375
1517145315698232,0.0625,1.8125,-0.25
1517145315748268,0.3125,2.3125,0.125
1517145315749271,0.6875,2.3125,0
1517145315758278,0.3125,2,0.0625
1517145315777296,0.375,1.875,-0.375
1517145315793308,-1.3125,1.25,-0.0625
1517145315823322,-1.5,1,-0.125
1517145315844336,-1.3125,0.6875,-0.1875
1517145315867353,-0.1875,0,-0.3125
1517145315884366,-0.3125,-0.1875,-0.25
1517145315904380,-0.5625,0.25,0.0625
1517145315927395,-0.4375,1.4375,-0.1875
1517145315943406,-0.125,2.1875,0.1875
1517145315964421,1.375,2.5,0
1517145315980433,1.125,3.0625,0.0625
1517145316003449,-0.6875,2.8125,-0.0625
1517145316032470,-1.25,1.9375,0.0625
1517145316046481,-0.875,1.5625,-0.1875
1517145316063492,-1.25,0.75,-0.25
1517145316084506,-0.6875,0.8125,-0.125
1517145316100518,-0.5625,0.875,0.75
1517145316123535,0,0.4375,0.5
1517145316144549,0.9375,0.4375,0.8125
1517145316160561,1.25,0.875,0.125
1517145316183577,0.375,1.875,-0.375
1517145316204592,-1.1875,2,-0.3125
1517145316220603,-1.6875,1.875,-0.0625
1517145316243620,-0.0625,1.1875,-0.0625
1517145316265635,0,0.9375,-0.25
1517145316286650,-0.875,1.25,-0.0625
1517145316309666,-0.9375,1.6875,0
1517145316326679,0.625,1.6875,0.25
1517145316340689,1.1875,1.0625,0.3125
1517145316363705,0.625,1.0625,0.3125
1517145316385720,-0.125,0.8125,0.6875
1517145316401732,-0.3125,0.8125,0.125
1517145316423748,-1.0625,0.75,-0.0625
1517145316445763,-1.3125,0.4375,0.25
1517145316459773,0.0625,0.3125,0
1517145316483791,-0.3125,0.8125,-0.0625
1517145316505805,-1,1.375,-0.1875
1517145316519815,-1.125,1.6875,0.5
1517145316543832,-0.625,1.8125,0.0625
1517145316565849,0.0625,1.8125,0.4375
1517145316586864,0.3125,1.875,-0.125
1517145316603875,-0.8125,1.875,-0.4375
1517145316626893,-1.625,0.875,-0.375
1517145316639900,-0.3125,-0.0625,0.0625
1517145316662917,0.25,-0.5625,-0.0625
1517145316692945,-0.25,-0.75,0.0625
1517145316701946,-0.5,-0.5,0.1875
1517145316728964,-0.25,0.5,0.0625
1517145316745976,0.3125,1.8125,0.0625
1517145316767992,0.25,2.0625,0.4375
1517145316797013,1.125,1.625,0.125
1517145316812023,0.3125,1,0.0625
1517145316828042,-1.0625,0,0.125
1517145316851051,-1.5,-0.1875,0.0625
1517145316866061,-1.0625,-0.4375,0.25
1517145316888076,-0.75,-0.3125,0.1875
1517145316911096,0.1875,0.25,-0.1875
1517145316916151,-0.125,1,0.0625
1517145316933144,0.0625,1.1875,0.125
1517145316954177,0.5,1,0.4375
1517145316984204,0.625,0.75,0.3125
1517145316993154,-0.1875,0.125,0.125
1517145317014169,-1.3125,-0.625,0.125
1517145317039186,-1.875,-0.75,0.0625
1517145317053198,-1.375,-0.6875,-0.1875
1517145317074262,-1.125,-0.75,-0.1875
1517145317096278,-0.75,-0.5,-0.4375
1517145317113236,-0.5,0.1875,-0.1875
1517145317134252,0.25,1,0.0625
1517145317156321,0.4375,1.0625,0.0625
1517145317172334,0.8125,1.0625,0.0625
1517145317194298,0.3125,0.5625,-0.0625
1517145317216364,-0.5625,-0.125,0
1517145317232328,-1.0625,-0.375,-0.0625
1517145317253337,-0.6875,-0.8125,-0.125
1517145317276356,-0.25,-0.375,-0.25
1517145317292363,-0.625,-0.75,-0.125
1517145317316381,-0.25,-0.4375,0.0625
1517145317336395,0.5,0.3125,0.25
1517145317352406,0.75,0.5625,0.0625
1517145317373460,0.4375,0.25,0.25
1517145317397442,0.5625,0.125,0.375
1517145317420458,0.3125,-0.375,0.125
1517145317433465,-0.4375,-0.9375,0.0625
1517145317456534,-0.6875,-1.5,0.0625
1517145317472494,-1.25,-1.625,0.1875
1517145317501544,-0.75,-1.625,-0.0625
1517145317516580,0.125,-1.5625,0.25
1517145317532541,0.9375,-0.75,0.4375
1517145317553550,0.6875,-0.0625,0.5625
1517145317576568,0.5,0.875,0.3125
1517145317592579,0.4375,0.6875,0.125
1517145317613609,0.125,0.25,0.0625
1517145317637608,-1.125,-0.6875,0
1517145317652621,-1.3125,-0.625,0.125
1517145317673652,-0.9375,-0.25,0.1875
1517145317699658,-0.5625,-0.625,0.1875
1517145317712661,0.75,-0.625,0
1517145317733695,1.25,-0.5,0.125
1517145317756711,0.3125,-0.125,0.5
1517145317773704,0.9375,-0.0625,0.6875
1517145317793721,1.5,-0.5,0.6875
1517145317816737,1,-1.75,1
1517145317833764,-0.1875,-3.125,0.875
1517145317853800,-1.0625,-3.9375,0.875
1517145317876780,-0.4375,-3.3125,0.4375
1517145317894793,-0.625,-2.25,-0.125
1517145317922813,-0.875,-0.5625,-0.125
1517145317936824,-0.75,-0.25,0.0625
1517145317953876,-0.4375,0.75,-0.125
1517145317976849,0.375,1.6875,-0.25
1517145317996867,0.625,2.875,-0.6875
1517145318013876,0.125,2.375,-0.375
1517145318033890,-0.375,2.5625,-0.375
1517145318055908,-0.9375,2,-0.75
1517145318073919,-1.5625,1.25,-0.5625
1517145318093938,-0.875,0.8125,-0.375
1517145318116007,0.125,0.5625,-0.5625
1517145318133964,-0.0625,1.0625,-0.6875
1517145318154033,-0.25,2.1875,-0.1875
1517145318175992,0.25,2.375,0.25
1517145318195008,1.5,2.75,-0.0625
1517145318214059,0.8125,2.5625,-0.625
1517145318236090,-0.6875,2,-0.4375
1517145318254049,-1.6875,1.5625,-0.1875
1517145318274117,-1,0.8125,-0.1875
1517145318296132,0.0625,0.625,0.125
1517145318314089,0.125,0.6875,0.125
1517145318335109,-0.6875,0.875,0.1875
1517145318356175,0,1.375,-0.125
1517145318374142,-0.25,2.125,0.0625
1517145318395151,-0.4375,2.25,0.125
1517145318416221,-0.5,1.8125,0.0625
1517145318440199,0.125,1.8125,0.0625
1517145318455193,-0.6875,1.9375,-0.1875
1517145318476207,-1.1875,1.3125,-0.0625
1517145318495256,-0.5,0.5625,-0.1875
1517145318515232,-1.0625,1.125,-0.5
1517145318544252,-1.3125,1.875,-0.5625
1517145318554278,-0.5625,2.8125,-1
1517145318578276,-0.625,3.4375,-0.8125
1517145318596292,0.125,3.3125,-0.3125
1517145318614338,1.125,3,-0.375
1517145318635320,1.125,2.0625,-0.625
1517145318656332,-0.875,1.875,-0.625
1517145318674345,-2,1.3125,-0.75
1517145318704365,-0.4375,0.5625,-0.75
1517145318716374,1.125,0.125,-0.3125
1517145318738390,0.6875,-0.25,-0.0625
1517145318756402,0.1875,0.625,0.125
1517145318783425,-0.125,1.0625,0.0625
1517145318794430,0.375,1.8125,0
1517145318816448,0.5625,1.75,0.0625
1517145318836461,0.0625,1.375,0.0625
1517145318854506,-0.5,1,-0.125
1517145318876487,-1.375,0.625,-0.1875
1517145318896502,-1.4375,0.1875,-0.1875
1517145318914551,-0.9375,0.75,-0.4375
1517145318936530,-0.5625,0.3125,-0.125
1517145318956543,0.4375,1.0625,0.0625
1517145318981564,0.5625,1.6875,0.1875
1517145318996572,0.6875,2.25,-0.0625
1517145319019609,0.8125,2.6875,-0.25
1517145319034636,-0.75,3.4375,-0.6875
1517145319056618,-1.3125,3.125,-0.375
1517145319076630,-0.9375,1.4375,0.4375
1517145319094647,0.5625,0.625,0.125
1517145319116659,-0.125,1.3125,0
1517145319136726,-0.875,1.8125,-0.5625
1517145319154708,-0.375,1.625,-0.625
1517145319176703,-0.1875,2,-0.25
