timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1517145315622179,1,2,3,-7,0,0,-1,-1
1517145315622179,-1,-2,-14,-4,-2,0,-1,0
1517145315623180,1,15,21,9,1,0,1,-1
1517145315623180,0,-6,-26,-14,-2,-1,-2,-1
1517145315624181,-2,1,6,7,0,-1,-2,-1
1517145315624181,0,0,5,7,-1,-1,0,-1
1517145315627182,-1,4,3,-9,0,1,-1,0
1517145315627182,-1,-12,3,0,-3,-1,-1,-2
1517145315634187,-2,-7,-51,-3,0,-1,-1,-2
1517145315634187,1,5,-17,-6,1,-1,-1,-1
1517145315649198,-3,-2,17,8,-2,-3,-2,-1
1517145315649198,0,-2,1,-3,-2,-1,0,1
1517145315650198,0,6,22,3,0,1,-1,0
1517145315650198,-4,-7,-11,2,-1,-2,-1,-3
1517145315664210,-1,0,-13,-6,-2,-2,0,-2
1517145315664210,-5,6,9,-7,-4,-2,-2,-2
1517145315688225,1,2,6,4,2,0,1,1
1517145315688225,2,6,24,1,-3,-1,0,0
1517145315689226,1,-4,-24,-1,6,3,-1,-2
1517145315689226,-3,0,-2,10,0,-1,-2,-4
1517145315696231,0,-4,13,-14,-4,-2,0,2
1517145315696231,-3,0,8,0,-1,-3,-1,-1
1517145315710241,0,-3,4,0,-5,-3,-2,0
1517145315710241,6,2,-1,10,3,0,0,1
1517145315750278,0,1,1,4,-1,0,-4,-14
1517145315750278,0,2,6,-3,-1,0,-2,0
1517145315755273,-1,-4,5,-4,-2,-3,-2,-1
1517145315755273,0,-2,-6,2,-2,-1,-1,-2
1517145315756274,-1,-2,0,-8,-1,-1,0,3
1517145315756274,-2,-2,-6,1,-2,-1,-2,-3
1517145315757280,0,13,5,-4,-2,-1,-1,-1
1517145315757280,-2,-22,6,0,0,0,-2,0
1517145315761278,0,-1,-8,-1,-1,-1,1,7
1517145315761278,-3,2,15,4,-1,-2,-4,-11
1517145315768283,-3,1,-22,1,0,1,0,2
1517145315768283,-3,-5,-6,-4,-2,0,-2,-3
1517145315778293,-1,1,2,1,0,-1,0,1
1517145315778293,-1,-2,-2,-4,0,0,0,3
1517145315792301,0,-5,3,1,-1,0,-1,-2
1517145315792301,3,19,10,8,1,0,0,-2
1517145315798304,-2,-15,-1,0,0,-1,1,0
1517145315798304,-1,-13,9,-13,0,-1,0,1
1517145315822322,-1,7,-50,-4,-4,-3,-3,-3
1517145315822322,-5,-3,-4,-16,-5,-4,-2,-1
1517145315824323,0,8,-1,6,-2,0,-2,0
1517145315824323,1,3,21,1,-2,-1,1,7
1517145315836331,-1,-11,4,4,0,-1,-4,-16
