timestamp,x,y,z,w
1517145044885895,0.0811157,0.0847778,-0.0108643,0.992981
1517145044892898,0.0780029,0.0668945,-0.0241089,0.994385
1517145044915931,0.0737305,0.0492554,-0.0360107,0.995361
1517145044930945,0.0874634,0.0530396,-0.05896,0.992981
1517145044952959,0.101624,0.0450439,-0.0770264,0.990784
1517145044975957,0.105225,0.0390015,-0.0802612,0.990417
1517145044990968,0.0959473,0.0498657,-0.0910645,0.989929
1517145045020991,0.0742188,0.0252686,-0.0847778,0.993286
1517145045035028,0.0693359,-0.026062,-0.0615234,0.9953
1517145045050026,0.0562744,-0.0536499,-0.0439453,0.995972
1517145045073043,0.0593872,-0.0628662,-0.0586548,0.994507
1517145045103064,0.0639038,-0.0780029,-0.0578003,0.993164
1517145045110053,0.0581055,-0.0739136,-0.0587158,0.993774
1517145045133086,0.0487671,-0.079834,-0.0633545,0.993591
1517145045155101,0.0238037,-0.0855713,-0.0640259,0.993958
1517145045171113,-0.00250244,-0.101379,-0.0620117,0.992859
1517145045193112,-0.036377,-0.114563,-0.0629883,0.990723
1517145045215126,-0.0706177,-0.142944,-0.0784302,0.98407
1517145045230157,-0.0872192,-0.190735,-0.115906,0.970825
1517145045253174,-0.103088,-0.205383,-0.15271,0.961182
1517145045275181,-0.104431,-0.198669,-0.169128,0.959656
1517145045290180,-0.0968018,-0.193054,-0.187805,0.95813
1517145045313196,-0.0879517,-0.202026,-0.195129,0.955688
1517145045335214,-0.0865479,-0.211243,-0.187683,0.955322
1517145045350223,-0.0944824,-0.222046,-0.172852,0.954895
1517145045373239,-0.0952759,-0.224426,-0.151001,0.958008
1517145045395255,-0.0878906,-0.221008,-0.124878,0.963257
1517145045410265,-0.0889893,-0.220703,-0.11499,0.964417
1517145045433282,-0.0812988,-0.239441,-0.118408,0.960205
1517145045455336,-0.0880127,-0.269043,-0.136108,0.949402
1517145045471332,-0.0801392,-0.289673,-0.129761,0.944885
1517145045493326,-0.0983276,-0.289307,-0.134766,0.942566
1517145045515364,-0.0808105,-0.298218,-0.121765,0.943237
1517145045530374,-0.0845337,-0.289734,-0.120605,0.945679
1517145045553396,-0.0809937,-0.26825,-0.115662,0.952942
1517145045575384,-0.0688477,-0.24939,-0.102417,0.96051
1517145045590422,-0.0499878,-0.229187,-0.0769043,0.969055
1517145045613409,-0.0385742,-0.215454,-0.0402222,0.974915
1517145045643431,-0.0496216,-0.215637,-0.00634766,0.975159
1517145045650457,-0.0574341,-0.19519,0.00408936,0.979065
1517145045673452,-0.036438,-0.149292,0.020813,0.987854
1517145045695496,-0.0206299,-0.133728,0.0396118,0.98999
1517145045710496,-0.00762939,-0.124268,0.0748291,0.98938
1517145045733496,0.00683594,-0.13324,0.137512,0.981445
1517145045755535,0.0265503,-0.164856,0.218323,0.961426
1517145045770526,0.0405273,-0.214233,0.283569,0.933777
1517145045792536,0.0455933,-0.252014,0.369385,0.89325
1517145045815570,0.0493164,-0.289124,0.421326,0.858154
1517145045830563,0.0491333,-0.306641,0.482178,0.819153
1517145045852599,0.0535889,-0.323364,0.528442,0.783081
1517145045875595,0.05896,-0.324219,0.569946,0.752686
1517145045890626,0.0582275,-0.295166,0.608765,0.73407
1517145045912623,0.0641479,-0.232483,0.666687,0.7052
1517145045935639,0.0403442,-0.181091,0.724609,0.663635
1517145045950650,0.0155029,-0.133057,0.771729,0.621582
1517145045972663,0.00799561,-0.0772095,0.80542,0.587463
1517145045995697,0.00860596,-0.043457,0.826904,0.560547
1517145046010708,-0.00671387,-0.0546875,0.831116,0.553284
1517145046032721,-0.0264893,-0.0593262,0.837524,0.542419
1517145046062745,-0.0304565,-0.053833,0.847168,0.527649
1517145046070734,-0.0117188,-0.0317383,0.870178,0.491455
1517145046092749,0.00860596,0.020752,0.897888,0.439636
1517145046115800,0.00714111,0.0688477,0.921936,0.381042
1517145046130790,-0.00866699,0.117432,0.941406,0.315918
1517145046152809,-0.0203247,0.138306,0.9552,0.260742
