timestamp,roll,pitch,yaw
1517145044885895,0.162319,0.17096,-0.00793819
1517145044892898,0.153954,0.137229,-0.0378762
1517145044915931,0.144503,0.103549,-0.0648165
1517145044930945,0.169385,0.115908,-0.108757
1517145044952959,0.196782,0.105106,-0.144779
1517145044975957,0.204496,0.094286,-0.152034
1517145044990968,0.183136,0.116465,-0.172748
1517145045020991,0.143936,0.0628233,-0.16575
1517145045035028,0.141835,-0.0433611,-0.126539
1517145045050026,0.117694,-0.102099,-0.094204
1517145045073043,0.12672,-0.118351,-0.125334
1517145045103064,0.137893,-0.148093,-0.126498
1517145045110053,0.125735,-0.140546,-0.126878
1517145045133086,0.108504,-0.153062,-0.135681
1517145045155101,0.0591425,-0.167847,-0.133622
1517145045171113,0.00776381,-0.203013,-0.125531
1517145045193112,-0.0592924,-0.233705,-0.120016
1517145045215126,-0.122195,-0.296748,-0.14077
1517145045230157,-0.136354,-0.401239,-0.209861
1517145045253174,-0.150298,-0.440406,-0.281419
1517145045275181,-0.147092,-0.429738,-0.316705
1517145045290180,-0.123969,-0.418403,-0.360731
1517145045313196,-0.0985459,-0.433966,-0.38106
1517145045335214,-0.0957893,-0.451257,-0.365968
1517145045350223,-0.116812,-0.474309,-0.329862
1517145045373239,-0.12953,-0.476619,-0.281169
1517145045395255,-0.12798,-0.464221,-0.227564
1517145045410265,-0.135493,-0.462476,-0.205383
1517145045433282,-0.113512,-0.499604,-0.216389
1517145045455336,-0.111335,-0.564293,-0.252487
1517145045471332,-0.0928182,-0.604333,-0.243993
1517145045493326,-0.13128,-0.6088,-0.242717
1517145045515364,-0.0983405,-0.621506,-0.225155
1517145045530374,-0.109604,-0.604536,-0.21947
1517145045553396,-0.109074,-0.558587,-0.210253
1517145045575384,-0.0934477,-0.515747,-0.187791
1517145045590422,-0.0691418,-0.46887,-0.141871
1517145045613409,-0.0639275,-0.436976,-0.0682672
1517145045643431,-0.103873,-0.434758,0.00994605
1517145045650457,-0.123721,-0.391676,0.0329278
1517145045673452,-0.0818985,-0.297824,0.0544219
1517145045695496,-0.0533458,-0.26628,0.0871253
1517145045710496,-0.0347584,-0.247266,0.155293
1517145045733496,-0.0240787,-0.266561,0.281624
1517145045755535,-0.0221639,-0.334807,0.450285
1517145045770526,-0.0505833,-0.436839,0.600822
1517145045792536,-0.119962,-0.505113,0.815169
1517145045815570,-0.189717,-0.567804,0.968273
1517145045830563,-0.260585,-0.582069,1.14245
1517145045852599,-0.317297,-0.598106,1.28574
1517145045875595,-0.344431,-0.588697,1.40154
1517145045890626,-0.322735,-0.5285,1.47271
1517145045912623,-0.243481,-0.426215,1.56754
1517145045935639,-0.220684,-0.303461,1.69236
1517145045950650,-0.190677,-0.190489,1.80364
1517145045972663,-0.115859,-0.103781,1.88711
1517145045995697,-0.0623857,-0.0629937,1.95205
1517145046010708,-0.0986124,-0.0493755,1.96927
1517145046032721,-0.12849,-0.0199899,1.99334
1517145046062745,-0.123669,-0.00520627,2.02777
1517145046070734,-0.066808,-0.0108013,2.11362
1517145046092749,0.0448481,0.00279225,2.23101
1517145046115800,0.132882,0.0393106,2.36032
1517145046130790,0.218243,0.0906399,2.50394
1517145046152809,0.258051,0.111181,2.62304
1517145046175808,0.310927,0.0971146,2.70477
1517145046197842,0.321712,0.0669713,2.74261
1517145046212852,0.318073,0.0576793,2.75071
1517145046235867,0.313503,0.0373727,2.73744
1517145046250878,0.302895,0.0530698,2.77566
1517145046272894,0.32364,0.0654067,2.79581
1517145046302915,0.37498,0.0920091,2.8345
1517145046310933,0.422168,0.13784,2.86235
1517145046332936,0.453035,0.166311,2.88863
1517145046355947,0.512349,0.241559,2.95943
1517145046370951,0.522947,0.263693,2.98913
1517145046392962,0.496901,0.293497,3.04983
1517145046415979,0.439173,0.281658,3.06686
1517145046430991,0.422456,0.240599,3.07556
1517145046453022,0.38101,0.195251,3.06577
1517145046476023,0.328171,0.172025,3.05359
1517145046491035,0.303636,0.153652,3.06218
1517145046513049,0.273131,0.125777,3.06218
1517145046535063,0.252948,0.104077,3.05658
1517145046558096,0.235546,0.0841755,3.04606
1517145046580115,0.233695,0.0906724,3.03418
1517145046595106,0.221013,0.127655,2.99831
1517145046610118,0.20684,0.208034,3.03261
1517145046633219,0.22632,0.246037,3.03913
1517145046655238,0.202967,0.275168,3.01717
1517145046670249,0.203103,0.162674,3.00009
1517145046693250,0.16797,0.0398327,3.03141
1517145046715272,0.135864,-0.010047,3.03182
1517145046730292,0.0814268,-0.0562679,3.01429
1517145046753308,-0.0265638,0.0292669,3.01511
1517145046775307,-0.113441,0.192612,2.9213
1517145046790346,-0.120557,0.319681,2.9619
1517145046813364,-0.0751991,0.345237,3.02861
1517145046835380,-0.074653,0.321434,2.98666
1517145046850364,-0.064689,0.313071,2.9795
1517145046873378,-0.0420732,0.315893,2.98825
1517145046895409,-0.0218109,0.320606,3.00155
1517145046910403,-0.00564937,0.315085,3.02666
1517145046932419,0.0191416,0.319977,3.04856
1517145046955451,0.0399357,0.304284,3.07729
1517145046970462,0.0490809,0.287456,3.10736
1517145046992461,0.0590979,0.337575,3.11698
1517145047015494,0.0728785,0.380164,3.10673
1517145047030504,0.0691693,0.386462,3.08355
1517145047052520,0.0657674,0.363022,3.04768
1517145047075519,0.0906441,0.371728,2.99033
1517145047090547,0.135324,0.414196,2.98478
1517145047112563,0.147092,0.349929,2.95968
1517145047135582,0.146506,0.235537,2.89941
1517145047150590,0.0829118,0.318265,2.89291
1517145047172604,0.0509975,0.439519,2.81136
1517145047195622,-0.00601288,0.816484,2.81277
1517145047210629,0.0158492,0.595215,2.83721
1517145047232637,-0.0518495,0.487375,2.75681
1517145047255671,-0.0416738,0.433715,2.74412
1517145047270681,0.0724121,0.412615,2.8007
1517145047292675,0.108756,0.387,2.79178
1517145047315714,0.104217,0.351648,2.77786
1517145047330724,0.105794,0.322372,2.79009
1517145047352740,0.0749013,0.285381,2.78548
1517145047375734,0.0625601,0.280465,2.74253
1517145047390745,0.125434,0.271658,2.7528
1517145047412776,0.136243,0.240929,2.79075
1517145047435792,0.132865,0.19909,2.81922
1517145047450803,0.144906,0.161765,2.83308
1517145047472822,0.14067,0.150182,2.81167
1517145047495835,0.160418,0.120458,2.79852
1517145047517852,0.186275,0.0855883,2.78518
1517145047540851,0.195044,0.05924,2.77472
1517145047562882,0.206734,0.0417008,2.75989
1517145047585884,0.231643,0.0232595,2.72957
1517145047600895,0.25561,0.0154892,2.70534
1517145047622924,0.277358,0.00924071,2.68907
1517145047645943,0.290175,0.00158278,2.67251
1517145047667957,0.304264,-0.0106384,2.65477
1517145047690973,0.277733,-0.00909982,2.64396
1517145047691957,0.241299,-0.00885677,2.63486
1517145047712971,0.217709,-0.00162713,2.62669
1517145047735004,0.206425,0.00907594,2.59303
1517145047758020,0.185528,0.0162626,2.56674
1517145047780036,0.161727,0.0119987,2.56703
1517145047795047,0.155397,0.00915022,2.56807
1517145047810042,0.170024,0.00710803,2.55148
1517145047833059,0.230545,-0.00041116,2.52608
1517145047855089,0.301242,-0.0150598,2.50777
1517145047878102,0.324916,-0.0222667,2.51817
1517145047893101,0.339728,-0.0416107,2.50312
1517145047915132,0.361221,-0.0359383,2.48789
1517145047930154,0.376602,-0.0469202,2.46911
1517145047953170,0.390648,-0.060288,2.4472
1517145047975158,0.401901,-0.0763638,2.43123
1517145047990194,0.405035,-0.0791793,2.41561
1517145048013210,0.404172,-0.0959575,2.40984
1517145048035202,0.405656,-0.103692,2.41041
1517145048050212,0.406,-0.1147,2.4053
1517145048073256,0.437755,-0.126898,2.42278
1517145048095273,0.446996,-0.15298,2.42841
1517145048118289,0.447723,-0.146633,2.41826
1517145048133300,0.442813,-0.140733,2.41017
1517145048155314,0.435793,-0.137549,2.40412
1517145048170325,0.429584,-0.135629,2.39614
1517145048193313,0.421666,-0.135875,2.39159
1517145048215356,0.408829,-0.141817,2.39888
1517145048230368,0.405723,-0.145675,2.39959
1517145048253356,0.412563,-0.140505,2.38832
1517145048283376,0.419348,-0.134172,2.38282
1517145048290411,0.413966,-0.128031,2.38227
1517145048313403,0.40527,-0.126112,2.38142
1517145048335441,0.373476,-0.113181,2.38808
1517145048350453,0.336882,-0.0884606,2.37988
1517145048372468,0.339672,-0.0683874,2.36653
1517145048395484,0.374636,-0.0621082,2.34841
1517145048410467,0.411674,-0.0593258,2.3475
1517145048432507,0.435575,-0.0585103,2.34674
1517145048455503,0.455131,-0.058082,2.34946
1517145048470511,0.478872,-0.0561973,2.3547
1517145048492525,0.49998,-0.0544472,2.36108
1517145048515542,0.512848,-0.0553052,2.3651
