timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1517145104333336,2,17,35,10,2,0,0,0
1517145104333336,-7,-35,-58,-8,-3,0,-3,-2
1517145104345345,-3,7,-19,-5,-2,-2,-2,-2
1517145104345345,-1,-10,19,4,-1,-2,-2,-1
1517145104360355,0,8,8,-5,-1,0,0,-2
1517145104360355,3,7,-4,-1,1,-1,1,-2
1517145104370362,-2,-3,-14,-7,-2,-1,0,2
1517145104370362,0,-23,-12,-3,-1,-1,-1,0
1517145104372364,-1,2,17,4,-4,-4,-1,-3
1517145104372364,-2,11,-16,-4,-2,2,2,0
1517145104391377,1,-17,-7,3,0,1,-1,-2
1517145104391377,-3,24,14,-6,-1,-4,-2,-3
1517145104393388,-4,-36,-30,-2,1,-1,-1,0
1517145104393388,-2,5,36,-2,-1,-3,-1,0
1517145104405394,-2,9,-21,2,0,-1,-2,-2
1517145104405394,-2,3,1,-2,-2,0,-2,1
1517145104414394,-2,6,-11,-6,-3,-3,-1,4
1517145104414394,0,-1,-5,1,-1,0,-1,-1
1517145104428403,3,-1,29,2,1,-1,-1,0
1517145104428403,2,14,-2,1,0,0,-2,-2
1517145104430404,-2,-2,-18,2,-1,0,-2,-1
1517145104430404,-2,-6,12,-4,-1,-1,-1,-1
1517145104451420,-1,0,6,0,-1,-1,-2,-1
1517145104451420,-2,11,-50,-14,-4,-3,1,-2
1517145104453423,1,7,5,2,0,0,1,-1
1517145104453423,-1,-3,2,0,-4,-2,-3,-5
1517145104474436,-2,10,3,-1,-2,-1,0,4
1517145104474436,-2,-16,1,-2,-3,-1,-2,-2
1517145104476449,-1,1,5,-2,-2,-2,-3,-2
1517145104476449,0,-3,-21,3,1,-2,1,-1
1517145104488446,-4,-8,5,-11,-6,-4,-2,0
1517145104488446,0,-4,3,1,0,1,0,-2
1517145104490447,-1,-2,-4,0,-1,-2,-1,-3
1517145104490447,4,8,28,2,1,2,0,3
1517145104511463,-3,-12,-9,-6,-2,-1,-3,-6
1517145104511463,-6,-15,-36,-6,-1,-1,-1,0
1517145104513465,1,5,7,1,-2,-2,-1,-3
1517145104513465,-1,2,-2,0,-2,-1,-3,0
1517145104533478,0,15,9,3,0,-2,1,-1
1517145104533478,0,-5,18,2,0,1,0,-1
1517145104535480,-1,-3,-16,1,-1,-1,-1,1
1517145104535480,-2,-5,-13,-3,1,-2,-1,0
1517145104548488,0,5,8,-1,1,0,0,-1
1517145104548488,0,-1,24,-3,-3,-1,-2,1
1517145104550489,-1,-7,-25,-4,-2,-1,0,-1
1517145104550489,-1,6,25,0,-1,-1,0,-1
1517145104578510,-2,-7,-56,-11,-2,-3,-1,-4
1517145104578510,1,3,2,-4,-3,-3,-2,0
1517145104580511,3,6,52,20,5,3,0,-2
1517145104580511,-6,-20,-75,-21,-9,-6,-5,-2
1517145104593520,-3,8,-5,8,-1,-1,-3,-2
1517145104593520,-2,-17,12,-2,5,3,2,-2
